title,tags
"The Person and the Situation: Perspectives of Social Psychology","user research, decision making, problem validation, user personas"
"Deep Work: Rules for Focused Success in a Distracted World","professional development, decision making, mentoring, strategic thinking"
"The Mission Critical Core/Context Model For Product Managers","product vision, product roadmap, strategic thinking, product leadership, feature prioritization"
"Creating Intelligent Teams","team management, cross-functional collaboration, strategic leadership, mentoring"
"Bad Leadership: What It Is, How It Happens, Why It Matters","strategic leadership, team management, organizational design, conflict resolution"
"The Five Temptations of a CEO: A Leadership Fable","strategic leadership, decision making, executive communication, organizational design"
"The Five Dysfunctions of a Team: A Leadership Fable","team management, cross-functional collaboration, conflict resolution, mentoring"
"How Brands Grow: What Marketers Don't Know","product positioning, go-to-market strategy, market research, b2c products, product-market fit"
"Escaping the Build Trap: How Effective Product Management Creates Real Value","product leadership, product development lifecycle, product vision, feature prioritization, product-market fit"
"The Practice of Management","strategic leadership, organizational design, team management, business model, product leadership"
"The Challenger Sale: Taking Control of the Customer Conversation","go-to-market strategy, b2b products, product positioning, storytelling, executive communication"
"Leadership: In Turbulent Times","strategic leadership, decision making, organizational design, team management"
"Leadership and Self-Deception: Getting Out of the Box","team management, conflict resolution, professional development, mentoring"
"Amp It Up: Leading for Hypergrowth by Raising Expectations, Increasing Urgency, and Elevating Intensity","strategic leadership, product leadership, organizational design, team management"
"Inspired: How to Create Tech Products Customers Love","product vision, product leadership, feature prioritization, product-market fit, product development lifecycle"
"Empowered: Ordinary People, Extraordinary Products","product leadership, strategic leadership, cross-functional collaboration, team management, mentoring"
"Continuous Discovery Habits","continuous discovery, user research, customer discovery, problem validation, user interviews"
"Lean Product and Lean Analytics","lean startup, metrics & kpis, data analysis, experimentation, product-market fit"
"The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses","lean startup, experimentation, product-market fit, metrics & kpis, product development lifecycle"
"The Four Steps to the Epiphany: Successful Strategies for Products that Win","customer discovery, market validation, go-to-market strategy, product-market fit, b2b products"
"Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days","design sprint, prototyping, user testing, problem validation, cross-functional collaboration"
"Loonshots","strategic thinking, innovation, product vision, organizational design, product development lifecycle"
"The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail","strategic thinking, product vision, product-market fit, b2b products, product development lifecycle"
"The Jobs To Be Done Playbook","jobs-to-be-done, problem validation, customer discovery, user research, product strategy"
"Lean UX","user research, prototyping, agile methodology, design thinking, cross-functional collaboration"
"Thinking in Bets","decision making, strategic thinking, experimentation, product leadership"
"Design Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days","design sprint, prototyping, user research, problem validation, cross-functional collaboration"
"Interviewing Users","user interviews, user research, ethnographic research, problem validation, customer discovery"
"This is Service Design Doing","user experience, service design, design thinking, user research, cross-functional collaboration"
"The Manager's Path","team management, mentoring, strategic leadership, professional development, organizational design"
"A Philosophy of Software Design","product development lifecycle, technical skills, strategic thinking, b2b products"
"System Design Interview: An Insider's Guide","product development lifecycle, technical skills, b2b products, saas, interview preparation"
"Think Like a UX Researcher","user research, usability testing, ethnographic research, user interviews, problem validation"
"Making Things Happen","product development lifecycle, project management, cross-functional collaboration, team management, decision making"
"Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity","team management, mentoring, executive communication, conflict resolution, professional development"
"Selling to Big Companies: Winning Strategies for Landing the Clients You Want","go-to-market strategy, b2b products, stakeholder management, product positioning, sales enablement"
"Hooked: How to Build Habit-Forming Products","user experience, product-market fit, user research, b2c products, behavioral design"
"The Mom Test","customer discovery, problem validation, user interviews, market validation, b2b products"
"Build: An Unorthodox Guide to Making Things Worth Making","product leadership, product vision, professional development, b2c products, career transition"
"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs","metrics & kpis, strategic leadership, product vision, team management, experimentation"
"Play Bigger: How Pirates, Dreamers, and Innovators Create and Dominate Markets","product positioning, go-to-market strategy, product vision, market research, b2c products"
"Blue Ocean Strategy","product positioning, go-to-market strategy, strategic thinking, market research, business model"
"Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers","go-to-market strategy, product-market fit, b2b products, market research, product positioning"
"Product-Led Growth: How to Build a Product That Sells Itself","product-market fit, user experience, growth, saas, conversion optimization"
"Obviously Awesome: How to Nail Product Positioning So Customers Get It, Buy It, Love It","product positioning, go-to-market strategy, market research, b2b products, b2c products"
"Working Backwards: Insights, Stories, and Secrets from Inside Amazon","product leadership, product vision, strategic thinking, team management, customer discovery" 
