title,author,summary,goodreads_rating,amazon_link,cover_image,difficulty_level,tags,industry_focus,learning_style
"Implementing Domain-Driven Design","Vaughn Vernon","A practical guide to implementing domain-driven design principles in software development.",4.1,"https://www.amazon.com/dp/0321834577","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"domain-driven design, implementation, software development, technical skills","general","practical, technical"
"Clean Architecture: A Craftsman's Guide to Software Structure and Design","Robert C. Martin","A guide to creating clean, maintainable software architectures that are easy to understand and modify.",4.2,"https://www.amazon.com/dp/0134494164","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"clean architecture, software design, structure, technical skills","general","theoretical, technical"
"Patterns of Enterprise Application Architecture","Martin Fowler","A comprehensive guide to enterprise application architecture patterns and best practices.",4.1,"https://www.amazon.com/dp/0321127420","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"enterprise architecture, patterns, software design, technical skills","general","theoretical, technical"
"Release It!: Design and Deploy Production-Ready Software","Michael T. Nygard","A guide to designing and deploying software that can handle real-world production challenges.",4.2,"https://www.amazon.com/dp/1680502395","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"production deployment, reliability, software design, technical skills","general","practical, technical"
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win","Gene Kim, Kevin Behr, George Spafford","A novel that teaches DevOps principles and how to improve software delivery and operations.",4.2,"https://www.amazon.com/dp/1942788297","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"devops, it operations, software delivery, business alignment","general","practical, case_studies"
"The DevOps Handbook: How to Create World-Class Agility, Reliability, & Security in Technology Organizations","Gene Kim, Jez Humble, Patrick Debois, John Willis","A comprehensive guide to implementing DevOps practices for better software delivery and operations.",4.2,"https://www.amazon.com/dp/1942788009","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"devops, agility, reliability, security, technical skills","general","practical, case_studies"
"Accelerate: The Science of Lean Software and DevOps: Building and Scaling High Performing Technology Organizations","Nicole Forsgren, Jez Humble, Gene Kim","Research-based insights on how DevOps practices improve software delivery performance and organizational outcomes.",4.2,"https://www.amazon.com/dp/1942788335","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"devops, lean software, performance, research, technical skills","general","theoretical, case_studies"
"Site Reliability Engineering: How Google Runs Production Systems","Betsy Beyer, Chris Jones, Jennifer Petoff, Niall Richard Murphy","A guide to Google's approach to running reliable, scalable production systems.",4.2,"https://www.amazon.com/dp/149192912X","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"site reliability engineering, production systems, google, technical skills","general","practical, case_studies"
"The Site Reliability Workbook: Practical Ways to Implement SRE","Betsy Beyer, Niall Richard Murphy, David K. Rensin, Kent Kawahara, Stephen Thorne","A practical guide to implementing site reliability engineering practices in your organization.",4.1,"https://www.amazon.com/dp/1492029505","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"site reliability engineering, implementation, practices, technical skills","general","practical, case_studies"
"Kubernetes: Up and Running: Dive into the Future of Infrastructure","Kelsey Hightower, Brendan Burns, Joe Beda","A guide to Kubernetes and container orchestration for scalable application deployment.",4.1,"https://www.amazon.com/dp/1491935677","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"kubernetes, containers, orchestration, infrastructure, technical skills","general","practical, technical"
"Designing Distributed Systems: Patterns and Paradigms for Scalable, Reliable Services","Brendan Burns","A guide to designing distributed systems and microservices architectures.",4.1,"https://www.amazon.com/dp/1491983647","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"distributed systems, microservices, scalability, technical skills","general","theoretical, technical"
"Building Evolutionary Architectures: Support Constant Change","Neal Ford, Rebecca Parsons, Patrick Kua","A guide to designing software architectures that can evolve and adapt to changing requirements.",4.1,"https://www.amazon.com/dp/1491986360","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"evolutionary architecture, software design, change management, technical skills","general","theoretical, technical"
"Monolith to Microservices: Evolutionary Patterns to Transform Your Monolith","Sam Newman","A guide to gradually transforming monolithic applications into microservices architectures.",4.1,"https://www.amazon.com/dp/1492047848","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"microservices, monolith transformation, architecture, technical skills","general","practical, technical"
"Serverless Architectures on AWS: With Examples Using AWS Lambda","Peter Sbarski, Sam Kroonenburg","A guide to building serverless applications using AWS Lambda and related services.",4.1,"https://www.amazon.com/dp/1617293823","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"serverless, aws lambda, cloud computing, technical skills","general","practical, technical"
"Serverless: Patterns and Best Practices for AWS Lambda","John Chapin, Sam Kroonenburg","A guide to serverless patterns and best practices for building scalable applications.",4.0,"https://www.amazon.com/dp/1786463991","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"serverless, patterns, best practices, aws, technical skills","general","practical, technical"
"Cloud Native Patterns: Designing Change-Tolerant Software","Cornelia Davis","A guide to designing cloud-native applications that can handle change and scale effectively.",4.1,"https://www.amazon.com/dp/1617294293","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"cloud native, patterns, change tolerance, technical skills","general","theoretical, technical"
"Kubernetes in Action","Marko Lukša","A comprehensive guide to Kubernetes and container orchestration for application deployment.",4.2,"https://www.amazon.com/dp/1617293726","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"kubernetes, containers, orchestration, deployment, technical skills","general","practical, technical"
"Effective DevOps: Building a Culture of Collaboration, Affinity, and Tooling at Scale","Jennifer Davis, Ryn Daniels","A guide to building a DevOps culture and implementing effective collaboration practices.",4.1,"https://www.amazon.com/dp/1491926309","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"devops culture, collaboration, tooling, technical skills","general","practical, case_studies"
"Infrastructure as Code: Managing Servers in the Cloud","Kief Morris","A guide to managing infrastructure using code and automation practices.",4.1,"https://www.amazon.com/dp/1491924357","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"infrastructure as code, automation, cloud, technical skills","general","practical, technical"
"Terraform: Up & Running: Writing Infrastructure as Code","Yevgeniy Brikman","A practical guide to using Terraform for infrastructure as code and cloud automation.",4.2,"https://www.amazon.com/dp/1491977087","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"terraform, infrastructure as code, automation, technical skills","general","practical, technical"
"Ansible: Up and Running: Automating Configuration Management and Deployment the Easy Way","Lorin Hochstein, René Moser","A guide to using Ansible for configuration management and automated deployment.",4.1,"https://www.amazon.com/dp/1491915323","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"ansible, configuration management, automation, technical skills","general","practical, technical"
"Continuous Delivery: Reliable Software Releases through Build, Test, and Deployment Automation","Jez Humble, David Farley","A comprehensive guide to implementing continuous delivery practices for reliable software releases.",4.2,"https://www.amazon.com/dp/0321601912","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"continuous delivery, automation, deployment, technical skills","general","practical, technical"
"Continuous Integration: Improving Software Quality and Reducing Risk","Paul M. Duvall, Steve Matyas, Andrew Glover","A guide to implementing continuous integration practices for better software quality.",4.1,"https://www.amazon.com/dp/0321336385","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"continuous integration, software quality, testing, technical skills","general","practical, technical"
"Test-Driven Development: By Example","Kent Beck","A guide to test-driven development practices and writing better software through testing.",4.2,"https://www.amazon.com/dp/0321146530","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"test-driven development, testing, software development, technical skills","general","practical, technical"
"Growing Object-Oriented Software, Guided by Tests","Steve Freeman, Nat Pryce","A guide to using test-driven development to grow object-oriented software systems.",4.2,"https://www.amazon.com/dp/0321503627","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"test-driven development, object-oriented design, testing, technical skills","general","practical, technical"
"Working Effectively with Legacy Code","Michael Feathers","A guide to working with and improving legacy code systems through testing and refactoring.",4.2,"https://www.amazon.com/dp/0131177052","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"legacy code, refactoring, testing, technical skills","general","practical, technical"
"Refactoring to Patterns","Joshua Kerievsky","A guide to applying design patterns through refactoring techniques to improve code quality.",4.1,"https://www.amazon.com/dp/0321213351","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"refactoring, design patterns, code quality, technical skills","general","practical, technical"
"Pattern-Oriented Software Architecture, Volume 1: A System of Patterns","Frank Buschmann, Regine Meunier, Hans Rohnert, Peter Sommerlad, Michael Stal","A comprehensive guide to software architecture patterns and their application.",4.1,"https://www.amazon.com/dp/0471958697","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"software architecture, patterns, system design, technical skills","general","theoretical, technical"
"Enterprise Integration Patterns: Designing, Building, and Deploying Messaging Solutions","Gregor Hohpe, Bobby Woolf","A guide to designing and implementing enterprise integration patterns for messaging systems.",4.2,"https://www.amazon.com/dp/0321200683","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"enterprise integration, messaging, patterns, technical skills","general","theoretical, technical"
"Integration Patterns: An Introduction to Enterprise Integration Patterns","Gregor Hohpe","An introduction to enterprise integration patterns for building distributed systems.",4.1,"https://www.amazon.com/dp/0136135164","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"integration patterns, enterprise, distributed systems, technical skills","general","theoretical, technical"
"Building Microservices with .NET Core: Develop, Test, and Deploy Microservices Using C# and .NET Core","Kevin Hoffman","A guide to building microservices using .NET Core and C# for enterprise applications.",4.1,"https://www.amazon.com/dp/1785887835","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"microservices, .net core, c#, enterprise, technical skills","general","practical, technical"
"Microservices Patterns: With Examples in Java","Chris Richardson","A comprehensive guide to microservices patterns and their implementation using Java.",4.2,"https://www.amazon.com/dp/1617294549","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"microservices, patterns, java, technical skills","general","practical, technical"
"Spring Microservices in Action","John Carnell","A guide to building microservices using Spring Boot and related technologies.",4.1,"https://www.amazon.com/dp/1617293984","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"spring boot, microservices, java, technical skills","general","practical, technical"
"Node.js Design Patterns: Design and Implement Production-Grade Node.js Applications Using Proven Patterns and Techniques","Mario Casciaro, Luciano Mammino","A guide to design patterns and best practices for building production Node.js applications.",4.2,"https://www.amazon.com/dp/1785885588","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"node.js, design patterns, javascript, technical skills","general","practical, technical"
"Node.js Microservices Development","Packt Publishing","A guide to developing microservices using Node.js and related technologies.",4.0,"https://www.amazon.com/dp/1785881892","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"node.js, microservices, javascript, technical skills","general","practical, technical"
"Python Microservices Development: Build, deploy, and manage microservices with Python","Tarek Ziadé","A guide to building microservices using Python and related frameworks.",4.1,"https://www.amazon.com/dp/1785881116","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"python, microservices, technical skills","general","practical, technical"
"Go Microservices: Building scalable and maintainable microservices with Go","Nic Jackson","A guide to building microservices using Go programming language.",4.1,"https://www.amazon.com/dp/1787123496","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"go, microservices, technical skills","general","practical, technical"
"Microservices with Docker on Microsoft Azure: Building and Deploying Microservices with Docker and Azure Service Fabric","Packt Publishing","A guide to deploying microservices using Docker on Microsoft Azure cloud platform.",4.0,"https://www.amazon.com/dp/1786463002","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"docker, microservices, azure, cloud, technical skills","general","practical, technical" 
